type,level,accuracy,precision,recall,f1
translation,2,0.8265,0.8426986784628616,0.8296750760431996,0.828980759010269
translation,5,0.0532,0.03713480282031385,0.057438217878738373,0.03475588949162322
translation,8,0.0228,0.04766764036077404,0.022558726534161692,0.015864257992610355
translation,10,0.0884,0.03199950971513958,0.08738237327578888,0.045029154436099186
